symbol,exchange,timeframe,timestamp,open_price,high_price,low_price,close_price,volume
AAPL,SP500,1d,"2024-01-02 00:00:00.000000",187.149993896484,188.440002441406,183.889999389648,185.639999389648,82488700.0
AAPL,SP500,1d,"2024-01-03 00:00:00.000000",184.220001220703,185.880004882813,183.429992675781,184.25,58414500.0
AAPL,SP500,1d,"2024-01-04 00:00:00.000000",182.149993896484,183.089996337891,180.880004882813,181.910003662109,71983600.0
AAPL,SP500,1d,"2024-01-05 00:00:00.000000",181.990005493164,182.759994506836,180.169998168945,181.179992675781,62379700.0
AAPL,SP500,1d,"2024-01-08 00:00:00.000000",182.089996337891,185.600006103516,181.5,185.559997558594,59144500.0
AAPL,SP500,1d,"2024-01-09 00:00:00.000000",183.919998168945,185.149993896484,182.729995727539,185.139999389648,42841800.0
AAPL,SP500,1d,"2024-01-10 00:00:00.000000",184.350006103516,186.399993896484,183.919998168945,186.190002441406,46792900.0
AAPL,SP500,1d,"2024-01-11 00:00:00.000000",186.539993286133,187.050003051758,183.619995117188,185.589996337891,49128400.0
AAPL,SP500,1d,"2024-01-12 00:00:00.000000",186.059997558594,186.740005493164,185.190002441406,185.919998168945,40477800.0
AAPL,SP500,1d,"2024-01-16 00:00:00.000000",182.160003662109,184.259994506836,180.929992675781,183.630004882813,65603000.0
AAPL,SP500,1d,"2024-01-17 00:00:00.000000",181.270004272461,182.929992675781,180.300003051758,182.679992675781,47317400.0
AAPL,SP500,1d,"2024-01-18 00:00:00.000000",186.089996337891,189.139999389648,185.830001831055,188.630004882813,78005800.0
AAPL,SP500,1d,"2024-01-19 00:00:00.000000",189.330001831055,191.949996948242,188.820007324219,191.559997558594,68903000.0
AAPL,SP500,1d,"2024-01-22 00:00:00.000000",192.300003051758,195.330001831055,192.259994506836,193.889999389648,60133900.0
AAPL,SP500,1d,"2024-01-23 00:00:00.000000",195.020004272461,195.75,193.830001831055,195.179992675781,42355600.0
AAPL,SP500,1d,"2024-01-24 00:00:00.000000",195.419998168945,196.380004882813,194.339996337891,194.5,53631300.0
AAPL,SP500,1d,"2024-01-25 00:00:00.000000",195.220001220703,196.270004272461,193.110000610352,194.169998168945,54822100.0
AAPL,SP500,1d,"2024-01-26 00:00:00.000000",194.270004272461,194.759994506836,191.940002441406,192.419998168945,44594000.0
AAPL,SP500,1d,"2024-01-29 00:00:00.000000",192.009994506836,192.199996948242,189.580001831055,191.729995727539,47145600.0
AAPL,SP500,1d,"2024-01-30 00:00:00.000000",190.940002441406,191.800003051758,187.470001220703,188.039993286133,55859400.0
